State,2018:Q1,2018:Q2,2018:Q3,2018:Q4,Total GDP,Date,Number of Deaths,Pop2018,Region
Alabama,217369.7,220572.2,223140.7,225859.4,886942.0000000001,20200916,2392,4887870,East South Central
Alaska,53563.0,54372.7,55410.0,55590.6,218936.30000000002,20200916,44,737438,Pacific
Arizona,340672.6,345474.0,351708.8,355332.9,1393188.2999999998,20200916,5371,7171650,Mountain
Arkansas,126088.8,128352.5,129032.8,130201.5,513675.6,20200916,1157,3013820,West South Central
California,2928096.5,2992622.8,3017340.5,3052871.3,11990931.100000001,20200916,14615,39557000,Pacific
Colorado,362721.2,370476.6,375311.6,378488.8,1486998.2,20200916,1905,5695560,Mountain
Connecticut,272854.5,273884.5,278294.5,277874.1,1102907.6,20200916,4487,3572660,New England
Delaware,72091.2,73024.7,74461.4,74348.1,293925.4,20200916,619,967171,South Atlantic
District of Columbia,138469.2,139579.6,141968.8,142626.2,562643.8,20200916,617,702455,South Atlantic
Florida,1020176.9,1032277.4,1048477.6,1056013.7,4156945.5999999996,20200916,13100,21299300,South Atlantic
Georgia,579993.0,588339.7,597746.2,602534.6,2368613.5,20200916,6419,10519500,South Atlantic
Hawaii,91946.7,93588.6,94287.8,95368.5,375191.6,20200916,100,1420490,Pacific
Idaho,75434.9,76681.3,77384.5,78707.3,308208.0,20200916,423,1754210,Mountain
Illinois,851327.0,860587.7,872316.6,877010.4,3461241.6999999997,20200916,8599,12741100,East North Central
Indiana,361793.8,365477.9,368747.9,371182.7,1467202.3,20200916,3472,6691880,East North Central
Iowa,186652.9,190178.9,190936.5,191038.1,758806.4,20200916,1237,3156140,West North Central
Kansas,165477.1,168173.0,169379.1,170242.9,673272.1,20200916,586,2911500,West North Central
Kentucky,204566.6,207645.5,209064.6,211073.3,832350.0,20200916,1082,4468400,East South Central
Louisiana,251744.8,256654.9,259272.8,261478.5,1029151.0,20200916,5294,4659980,West South Central
Maine,63697.9,64746.4,65434.3,65545.5,259424.1,20200916,138,1338400,New England
Maryland,405572.7,412084.7,414703.9,417975.6,1650336.9,20200916,3855,6042720,South Atlantic
Massachusetts,558472.0,568220.1,573506.4,577753.7,2277952.2,20200916,9245,6902150,New England
Michigan,519926.0,526008.7,530613.5,531835.0,2108383.2,20200916,6943,9995920,East North Central
Minnesota,360356.8,367676.1,372694.5,374682.1,1475409.5,20200916,1985,5611180,West North Central
Mississippi,112673.8,114940.3,115471.0,116251.6,459336.69999999995,20200916,2756,2986530,East South Central
Missouri,312514.3,319013.2,321184.4,322971.9,1275683.8,20200916,1739,6126450,West North Central
Montana,49190.4,50111.0,50615.5,51389.5,201306.4,20200916,141,1062300,Mountain
Nebraska,123942.3,124053.4,123225.8,124690.0,495911.5,20200916,436,1929270,West North Central
Nevada,165443.1,167929.1,170349.4,173518.0,677239.6,20200916,1494,3034390,Mountain
New Hampshire,83378.6,84268.9,85132.6,85075.4,337855.5,20200916,438,1356460,New England
New Jersey,612202.1,620066.1,625747.2,629995.9,2488011.3,20200916,16054,8908520,Middle Atlantic
New Mexico,97488.9,99742.1,101585.8,102370.5,401187.3,20200916,830,2095430,Mountain
New York,1643465.7,1668085.1,1683970.0,1679944.0,6675464.8,20200916,25410,19542200,Middle Atlantic
North Carolina,551999.7,563370.8,566922.7,572469.0,2254762.2,20200916,3149,10383600,South Atlantic
North Dakota,54380.5,55963.0,57018.0,56967.6,224329.1,20200916,141,760077,West North Central
Ohio,662321.0,673078.1,682922.3,685299.4,2703620.8000000003,20200916,4555,11689400,East North Central
Oklahoma,198108.1,201870.7,204383.7,205854.0,810216.5,20200916,924,3943080,West South Central
Oregon,234832.4,238125.3,241630.0,244543.6,959131.2999999999,20200916,521,4190710,Pacific
Pennsylvania,766321.6,781034.6,790711.2,794603.7,3132671.0999999996,20200916,7903,12807100,Middle Atlantic
Rhode Island,59733.7,60591.0,60413.2,61612.5,242350.4,20200916,1081,1057320,New England
South Carolina,228541.1,232473.9,235528.2,239176.3,935719.5,20200916,3132,5084130,South Atlantic
South Dakota,51214.4,51831.7,52381.7,52631.9,208059.69999999998,20200916,192,882235,West North Central
Tennessee,355118.8,362874.1,368694.3,369732.5,1456419.7,20200916,2151,6770010,East South Central
Texas,1751026.7,1792912.0,1823659.1,1842447.1,7210044.9,20200916,14478,28701800,West South Central
Utah,174343.7,177406.3,179586.4,181214.0,712550.4,20200916,437,3161100,Mountain
Vermont,32726.3,33236.2,33393.0,33669.6,133025.1,20200916,58,626299,New England
Virginia,523334.2,530306.4,537213.5,540715.9,2131570.0,20200916,2884,8517680,South Atlantic
Washington,549577.6,562939.0,573225.9,577581.4,2263323.9,20200916,2020,7535590,Pacific
West Virginia,75115.0,77103.5,78765.6,78766.2,309750.3,20200916,290,1805830,South Atlantic
Wisconsin,331469.2,334960.0,337893.6,340853.5,1345176.2999999998,20200916,1237,5813570,East North Central
Wyoming,38430.9,38957.1,39473.3,39612.6,156473.9,20200916,46,577737,Mountain
