State,Deaths,Pop2020,Pop Density,GDP
Alaska,10,734002,1.2863,73205
Alabama,504,4908621,96.9221,45219
Arkansas,102,3038999,58.403,42454
Arizona,704,7378494,64.955,48055
California,3334,39937489,256.3727,74205
Colorado,1257,5845526,56.4011,63882
Connecticut,3472,3563077,735.8689,76342
District of Columbia,400,720687,11814.541,200277
Delaware,304,982895,504.3073,77253
Florida,2052,21992985,410.1256,48318
Georgia,1675,10736059,186.6719,55832
Hawaii,17,1412687,219.9419,64096
Iowa,372,3179849,56.9284,59977
Idaho,77,1826156,22.0969,43430
Illinois,4379,12659682,228.0243,67268
Indiana,1678,6745354,188.281,55172
Kansas,173,2910357,35.5968,56334
Kentucky,366,4499692,113.9566,46898
Louisiana,2458,4645184,107.5175,53589
Massachusetts,5938,6976597,894.4355,82480
Maryland,2081,6083116,626.6731,68573
Maine,73,1345790,43.6336,47969
Michigan,5017,10045029,177.6655,53209
Minnesota,748,5700671,71.5922,64675
Missouri,616,6169270,89.7453,51699
Mississippi,554,2989260,63.7056,37948
Montana,16,1086759,7.4668,46609
North Carolina,691,10611862,218.2702,54441
North Dakota,45,761723,11.0393,72597
Nebraska,132,1952570,25.4161,63942
New Hampshire,182,1371246,153.1605,63067
New Jersey,10586,8936574,1215.1991,69378
New Mexico,276,2096640,17.285,46954
Nevada,373,3139658,28.5993,55269
New York,22843,19440469,412.5211,85746
Ohio,1720,11747694,287.5038,57492
Oklahoma,294,3954821,57.6547,50613
Oregon,140,4301089,44.8086,56956
Pennsylvania,4624,12820878,286.5449,61594
Rhode Island,124,1056161,1021.4323,57852
South Carolina,532,5210095,173.3174,45280
South Dakota,399,903027,11.9116,58624
Tennessee,44,6897576,167.2748,53933
Texas,305,29472295,112.8204,61167
Utah,1369,3282115,39.943,55550
Virginia,88,8626207,218.4403,62563
Vermont,1041,628061,68.1416,53523
Washington,54,7797095,117.3272,74182
Wisconsin,1031,5851754,108.0497,57720
West Virginia,467,1778070,73.9691,43053
Wyoming,68,567025,5.84,69900
