State,Number of Deaths,Pop2018,Total GDP,Region
Alabama,2401,4887870,886942,East South Central
Alaska,44,737438,218936.3,Pacific
Arizona,5409,7171650,1393188.3,Mountain
Arkansas,1166,3013820,513675.6,West South Central
California,14721,39557000,11990931.1,Pacific
Colorado,1905,5695560,1486998.2,Mountain
Connecticut,4488,3572660,1102907.6,New England
Delaware,619,967171,293925.4,South Atlantic
District of Columbia,619,702455,562643.8,South Atlantic
Florida,13247,21299300,4156945.6,South Atlantic
Georgia,6474,10519500,2368613.5,South Atlantic
Hawaii,103,1420490,375191.6,Pacific
Idaho,429,1754210,308208,Mountain
Illinois,8624,12741100,3461241.7,East North Central
Indiana,3478,6691880,1467202.3,East North Central
Iowa,1251,3156140,758806.4,West North Central
Kansas,586,2911500,673272.1,West North Central
Kentucky,1093,4468400,832350,East South Central
Louisiana,5311,4659980,1029151,West South Central
Maine,138,1338400,259424.1,New England
Maryland,3861,6042720,1650336.9,South Atlantic
Massachusetts,9260,6902150,2277952.2,New England
Michigan,6955,9995920,2108383.2,East North Central
Minnesota,1994,5611180,1475409.5,West North Central
Mississippi,2780,2986530,459336.7,East South Central
Missouri,1757,6126450,1275683.8,West North Central
Montana,143,1062300,201306.4,Mountain
Nebraska,439,1929270,495911.5,West North Central
Nevada,1506,3034390,677239.6,Mountain
New Hampshire,438,1356460,337855.5,New England
New Jersey,16057,8908520,2488011.3,Middle Atlantic
New Mexico,832,2095430,401187.3,Mountain
New York,25413,19542200,6675464.8,Middle Atlantic
North Carolina,3180,10383600,2254762.2,South Atlantic
North Dakota,142,760077,224329.1,West North Central
Ohio,4580,11689400,2703620.8,East North Central
Oklahoma,930,3943080,810216.5,West South Central
Oregon,521,4190710,959131.3,Pacific
Pennsylvania,7913,12807100,3132671.1,Middle Atlantic
Rhode Island,1085,1057320,242350.4,New England
South Carolina,3158,5084130,935719.5,South Atlantic
South Dakota,193,882235,208059.7,West North Central
Tennessee,2164,6770010,1456419.7,East South Central
Texas,14590,28701800,7210044.9,West South Central
Utah,437,3161100,712550.4,Mountain
Vermont,58,626299,133025.1,New England
Virginia,2920,8517680,2131570,South Atlantic
Washington,2031,7535590,2263323.9,Pacific
West Virginia,294,1805830,309750.3,South Atlantic
Wisconsin,1239,5813570,1345176.3,East North Central
Wyoming,49,577737,156473.9,Mountain
