"SQGDP2 Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018:Q1","2018:Q2","2018:Q3","2018:Q4"
"00000","United States *","1","All industry total",20163159.0,20510177.0,20749752.0,20897804.0
"00000","United States *","2","  Private industries",17654891.0,17977475.0,18189960.0,18320015.0
"00000","United States *","3","      Agriculture, forestry, fishing and hunting",169446.0,172100.0,160510.0,163799.0
"00000","United States *","6","      Mining, quarrying, and oil and gas extraction",328770.0,346432.0,361288.0,350091.0
"00000","United States *","10","      Utilities",322592.0,326273.0,323103.0,331440.0
"00000","United States *","11","      Construction",824254.0,835302.0,845371.0,851643.0
"00000","United States *","12","      Manufacturing",2274772.0,2308125.0,2337156.0,2364714.0
"00000","United States *","13","          Durable goods manufacturing",1272352.0,1286168.0,1305727.0,1321374.0
"00000","United States *","25","          Nondurable goods manufacturing",1002420.0,1021956.0,1031428.0,1043341.0
"00000","United States *","34","      Wholesale trade",1184398.0,1200091.0,1217788.0,1246640.0
"00000","United States *","35","      Retail trade",1110781.0,1130637.0,1131668.0,1134430.0
"00000","United States *","36","      Transportation and warehousing",640602.0,651710.0,662981.0,677205.0
"00000","United States *","45","      Information",1029258.0,1071830.0,1083064.0,1086825.0
"00000","United States *","51","      Finance and insurance",1534582.0,1567759.0,1603712.0,1563231.0
"00000","United States *","56","      Real estate and rental and leasing",2683653.0,2723444.0,2751241.0,2778793.0
"00000","United States *","60","      Professional, scientific, and technical services",1512817.0,1542651.0,1561208.0,1568966.0
"00000","United States *","64","      Management of companies and enterprises",389453.0,391647.0,399828.0,398557.0
"00000","United States *","65","      Administrative and support and waste management and remediation services",623097.0,632879.0,642126.0,654439.0
"00000","United States *","69","      Educational services",251091.0,253941.0,256681.0,260478.0
"00000","United States *","70","      Health care and social assistance",1509432.0,1528208.0,1544317.0,1565675.0
"00000","United States *","76","      Arts, entertainment, and recreation",218380.0,228752.0,230808.0,231747.0
"00000","United States *","79","      Accommodation and food services",620094.0,630546.0,636823.0,645283.0
"00000","United States *","82","      Other services (except government and government enterprises)",427418.0,435148.0,440287.0,446059.0
"00000","United States *","83","  Government and government enterprises",2508266.0,2532701.0,2559790.0,2577789.0
"00000","United States *","","Addenda:","","","",""
"00000","United States *","100","All industry total, overseas activity",115199.0,116233.0,117417.0,118213.0
"00000","United States *","101","Government and government enterprises, overseas activity",115199.0,116233.0,117417.0,118213.0
"01000","Alabama","1","All industry total",217369.7,220572.2,223140.7,225859.4
"01000","Alabama","2","  Private industries",181210.2,184109.2,186496.1,188887.2
"01000","Alabama","3","      Agriculture, forestry, fishing and hunting",2359.5,2380.0,2117.7,2243.8
"01000","Alabama","6","      Mining, quarrying, and oil and gas extraction",3056.7,2964.5,3032.7,2975.3
"01000","Alabama","10","      Utilities",6357.9,6213.4,6554.0,6837.1
"01000","Alabama","11","      Construction",7563.8,7743.6,7961.2,8117.7
"01000","Alabama","12","      Manufacturing",37034.7,37101.5,37950.3,38382.1
"01000","Alabama","13","          Durable goods manufacturing",23083.9,23249.0,23670.3,23966.8
"01000","Alabama","25","          Nondurable goods manufacturing",13950.8,13852.4,14279.9,14415.3
"01000","Alabama","34","      Wholesale trade",12107.9,12215.0,12377.8,12714.5
"01000","Alabama","35","      Retail trade",14796.8,15324.3,15470.4,15596.1
"01000","Alabama","36","      Transportation and warehousing",5979.1,6080.9,6191.1,6367.0
"01000","Alabama","45","      Information",4594.2,4805.7,4887.4,4857.6
"01000","Alabama","51","      Finance and insurance",12790.9,13382.7,13476.9,13144.3
"01000","Alabama","56","      Real estate and rental and leasing",23100.6,23485.2,23653.0,23990.4
"01000","Alabama","60","      Professional, scientific, and technical services",13501.5,13852.4,13951.5,13973.8
"01000","Alabama","64","      Management of companies and enterprises",2245.3,2116.0,2076.7,2154.3
"01000","Alabama","65","      Administrative and support and waste management and remediation services",5890.3,5958.4,6064.1,6270.3
"01000","Alabama","69","      Educational services",1296.1,1346.1,1328.2,1391.3
"01000","Alabama","70","      Health care and social assistance",16043.6,16312.6,16422.7,16586.5
"01000","Alabama","76","      Arts, entertainment, and recreation",815.4,863.1,862.3,866.1
"01000","Alabama","79","      Accommodation and food services",6181.5,6341.5,6411.0,6588.8
"01000","Alabama","82","      Other services (except government and government enterprises)",5494.6,5622.4,5707.0,5830.4
"01000","Alabama","83","  Government and government enterprises",36159.5,36463.0,36644.7,36972.1
"02000","Alaska","1","All industry total",53563.0,54372.7,55410.0,55590.6
"02000","Alaska","2","  Private industries",42878.5,43551.9,44497.8,44702.2
"02000","Alaska","3","      Agriculture, forestry, fishing and hunting",356.3,367.1,442.8,459.9
"02000","Alaska","6","      Mining, quarrying, and oil and gas extraction",9291.4,9150.9,9472.7,9293.3
"02000","Alaska","10","      Utilities",812.5,812.9,805.7,821.8
"02000","Alaska","11","      Construction",1883.4,1906.4,1985.2,2101.4
"02000","Alaska","12","      Manufacturing",1813.7,1831.9,1855.6,1869.3
"02000","Alaska","13","          Durable goods manufacturing",233.1,232.9,233.2,234.3
"02000","Alaska","25","          Nondurable goods manufacturing",1580.6,1599.1,1622.4,1635.0
"02000","Alaska","34","      Wholesale trade",1334.9,1358.6,1398.7,1452.1
"02000","Alaska","35","      Retail trade",2271.9,2321.2,2311.5,2332.1
"02000","Alaska","36","      Transportation and warehousing",7058.9,7401.1,7596.8,7680.1
"02000","Alaska","45","      Information",1273.3,1299.7,1373.2,1322.8
"02000","Alaska","51","      Finance and insurance",1244.1,1279.8,1290.6,1225.2
"02000","Alaska","56","      Real estate and rental and leasing",5086.1,5195.3,5226.1,5286.0
"02000","Alaska","60","      Professional, scientific, and technical services",1909.4,1912.3,1923.9,1940.1
"02000","Alaska","64","      Management of companies and enterprises",348.5,373.2,368.3,369.8
"02000","Alaska","65","      Administrative and support and waste management and remediation services",1058.5,1038.8,1051.9,1081.9
"02000","Alaska","69","      Educational services",199.0,202.3,208.2,211.7
"02000","Alaska","70","      Health care and social assistance",4214.2,4310.3,4362.5,4428.7
"02000","Alaska","76","      Arts, entertainment, and recreation",311.1,334.6,336.7,326.9
"02000","Alaska","79","      Accommodation and food services",1523.5,1557.2,1585.0,1582.7
"02000","Alaska","82","      Other services (except government and government enterprises)",887.7,898.5,902.6,916.4
"02000","Alaska","83","  Government and government enterprises",10684.6,10820.8,10912.2,10888.3
"04000","Arizona","1","All industry total",340672.6,345474.0,351708.8,355332.9
"04000","Arizona","2","  Private industries",297825.0,302158.6,307521.5,310984.0
"04000","Arizona","3","      Agriculture, forestry, fishing and hunting",2207.6,2287.9,2272.6,2275.9
"04000","Arizona","6","      Mining, quarrying, and oil and gas extraction",5570.2,5485.5,5640.4,5117.5
"04000","Arizona","10","      Utilities",7222.6,7109.8,7022.1,7193.0
"04000","Arizona","11","      Construction",15821.8,15903.3,16384.6,16952.7
"04000","Arizona","12","      Manufacturing",28448.3,28698.8,28934.0,29692.8
"04000","Arizona","13","          Durable goods manufacturing",23660.5,23719.8,23917.6,24601.0
"04000","Arizona","25","          Nondurable goods manufacturing",4787.8,4978.9,5016.4,5091.8
"04000","Arizona","34","      Wholesale trade",19038.9,19349.9,19519.8,19951.9
"04000","Arizona","35","      Retail trade",23993.3,24332.2,24470.2,24691.0
"04000","Arizona","36","      Transportation and warehousing",11314.0,11579.8,11853.4,12122.7
"04000","Arizona","45","      Information",12158.2,11900.5,12572.4,12755.5
"04000","Arizona","51","      Finance and insurance",23862.7,25131.5,26089.8,25515.3
"04000","Arizona","56","      Real estate and rental and leasing",53233.9,53845.9,54513.6,55064.0
"04000","Arizona","60","      Professional, scientific, and technical services",19511.7,19864.6,20274.2,20694.6
"04000","Arizona","64","      Management of companies and enterprises",3674.2,3609.4,3771.4,3786.1
"04000","Arizona","65","      Administrative and support and waste management and remediation services",15408.5,15807.4,15997.0,16326.7
"04000","Arizona","69","      Educational services",3917.2,3809.7,3837.9,3957.4
"04000","Arizona","70","      Health care and social assistance",29572.8,29832.4,30420.7,30837.8
"04000","Arizona","76","      Arts, entertainment, and recreation",3677.9,3958.1,4042.5,3862.3
"04000","Arizona","79","      Accommodation and food services",12432.0,12715.6,12831.0,12998.1
"04000","Arizona","82","      Other services (except government and government enterprises)",6759.3,6936.4,7073.9,7188.7
"04000","Arizona","83","  Government and government enterprises",42847.6,43315.4,44187.3,44348.8
"05000","Arkansas","1","All industry total",126088.8,128352.5,129032.8,130201.5
"05000","Arkansas","2","  Private industries",109862.5,112138.0,112483.7,113755.3
"05000","Arkansas","3","      Agriculture, forestry, fishing and hunting",2635.6,2905.2,2278.6,2367.2
"05000","Arkansas","6","      Mining, quarrying, and oil and gas extraction",1435.8,1442.7,1415.1,1330.5
"05000","Arkansas","10","      Utilities",3338.9,3486.6,3308.0,3541.4
"05000","Arkansas","11","      Construction",4704.8,4775.2,4809.5,4893.6
"05000","Arkansas","12","      Manufacturing",18879.0,19206.0,19497.0,19713.2
"05000","Arkansas","13","          Durable goods manufacturing",9194.1,9317.0,9537.1,9811.4
"05000","Arkansas","25","          Nondurable goods manufacturing",9684.9,9889.0,9959.9,9901.8
"05000","Arkansas","34","      Wholesale trade",9412.0,9646.0,9759.8,9993.6
"05000","Arkansas","35","      Retail trade",8882.6,9023.9,8902.5,8936.7
"05000","Arkansas","36","      Transportation and warehousing",5260.5,5404.5,5476.3,5627.8
"05000","Arkansas","45","      Information",3313.4,3568.0,3762.8,3903.3
"05000","Arkansas","51","      Finance and insurance",6062.0,6320.3,6568.4,6306.1
"05000","Arkansas","56","      Real estate and rental and leasing",13118.2,13341.5,13421.5,13591.5
"05000","Arkansas","60","      Professional, scientific, and technical services",4690.0,4744.5,4824.9,4821.4
"05000","Arkansas","64","      Management of companies and enterprises",5529.1,5404.0,5363.1,5411.9
"05000","Arkansas","65","      Administrative and support and waste management and remediation services",3610.1,3587.9,3616.9,3664.8
"05000","Arkansas","69","      Educational services",818.3,838.3,846.8,850.4
"05000","Arkansas","70","      Health care and social assistance",11121.7,11271.8,11369.2,11461.8
"05000","Arkansas","76","      Arts, entertainment, and recreation",576.1,599.8,593.7,591.7
"05000","Arkansas","79","      Accommodation and food services",3560.5,3597.6,3650.4,3675.4
"05000","Arkansas","82","      Other services (except government and government enterprises)",2913.8,2974.2,3019.0,3072.9
"05000","Arkansas","83","  Government and government enterprises",16226.4,16214.6,16549.1,16446.2
"06000","California","1","All industry total",2928096.5,2992622.8,3017340.5,3052871.3
"06000","California","2","  Private industries",2591328.6,2653353.8,2678614.8,2704059.6
"06000","California","3","      Agriculture, forestry, fishing and hunting",37296.0,37772.0,37639.7,37284.3
"06000","California","6","      Mining, quarrying, and oil and gas extraction",10516.9,11230.3,11442.9,10607.8
"06000","California","10","      Utilities",35449.4,35313.2,34430.3,34696.6
"06000","California","11","      Construction",110165.6,110316.2,111631.7,112955.1
"06000","California","12","      Manufacturing",312395.8,319669.9,321393.6,329495.3
"06000","California","13","          Durable goods manufacturing",194692.9,197730.8,197059.3,206180.6
"06000","California","25","          Nondurable goods manufacturing",117702.8,121939.1,124334.4,123314.7
"06000","California","34","      Wholesale trade",152506.6,155534.1,159998.9,164942.1
"06000","California","35","      Retail trade",150936.7,152812.7,154575.2,155246.2
"06000","California","36","      Transportation and warehousing",76552.4,78764.5,81188.8,83947.5
"06000","California","45","      Information",276947.4,294866.6,290464.1,288968.7
"06000","California","51","      Finance and insurance",152122.6,156561.4,158479.5,155206.8
