Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/9/20,2/1/20,9/5/20,United States,All Sexes,All Ages,"175,866","1,894,447","180,095","78,446","6,671","283,199",
9/9/20,2/1/20,9/5/20,United States,All Sexes,Under 1 year,19,"10,513",99,3,16,131,
9/9/20,2/1/20,9/5/20,United States,All Sexes,0-17 years,88,"18,631",296,17,123,490,
9/9/20,2/1/20,9/5/20,United States,All Sexes,1-4 years,14,"2,021",70,2,42,124,
9/9/20,2/1/20,9/5/20,United States,All Sexes,5-14 years,29,"3,110",94,8,52,167,
9/9/20,2/1/20,9/5/20,United States,All Sexes,15-24 years,315,"19,998",402,111,53,655,
9/9/20,2/1/20,9/5/20,United States,All Sexes,18-29 years,765,"35,561",963,315,100,"1,503",
9/9/20,2/1/20,9/5/20,United States,All Sexes,25-34 years,"1,360","41,370","1,513",606,151,"2,404",
9/9/20,2/1/20,9/5/20,United States,All Sexes,30-49 years,"8,024","124,473","7,476","3,560",565,"12,427",
9/9/20,2/1/20,9/5/20,United States,All Sexes,35-44 years,"3,542","58,523","3,377","1,547",247,"5,590",
9/9/20,2/1/20,9/5/20,United States,All Sexes,45-54 years,"9,324","107,903","8,747","4,292",577,"14,251",
9/9/20,2/1/20,9/5/20,United States,All Sexes,50-64 years,"27,980","312,037","29,016","13,371","1,587","44,928",
9/9/20,2/1/20,9/5/20,United States,All Sexes,55-64 years,"22,254","247,264","23,449","10,694","1,237","36,026",
9/9/20,2/1/20,9/5/20,United States,All Sexes,65-74 years,"37,684","374,953","39,742","17,965","1,444","60,671",
9/9/20,2/1/20,9/5/20,United States,All Sexes,75-84 years,"46,487","458,477","49,189","21,421","1,469","75,520",
9/9/20,2/1/20,9/5/20,United States,All Sexes,85 years and over,"54,838","570,315","53,413","21,797","1,383","87,660",
9/9/20,2/1/20,9/5/20,United States,Male,Under 1 year,13,"5,821",62,2,8,81,
9/9/20,2/1/20,9/5/20,United States,Male,0-17 years,54,"10,955",167,11,64,274,
9/9/20,2/1/20,9/5/20,United States,Male,1-4 years,7,"1,180",34,1,25,65,
9/9/20,2/1/20,9/5/20,United States,Male,5-14 years,20,"1,849",50,7,23,86,
9/9/20,2/1/20,9/5/20,United States,Male,15-24 years,195,"14,813",249,68,27,400,
9/9/20,2/1/20,9/5/20,United States,Male,18-29 years,499,"26,092",594,194,53,945,
9/9/20,2/1/20,9/5/20,United States,Male,25-34 years,904,"29,205",941,396,76,"1,516",
9/9/20,2/1/20,9/5/20,United States,Male,30-49 years,"5,512","81,675","4,739","2,456",304,"8,043",
9/9/20,2/1/20,9/5/20,United States,Male,35-44 years,"2,430","38,587","2,150","1,063",132,"3,626",
9/9/20,2/1/20,9/5/20,United States,Male,45-54 years,"6,362","67,837","5,467","2,935",342,"9,164",
9/9/20,2/1/20,9/5/20,United States,Male,50-64 years,"18,359","192,850","17,757","8,722",915,"28,116",
9/9/20,2/1/20,9/5/20,United States,Male,55-64 years,"14,493","152,280","14,304","6,911",703,"22,440",
9/9/20,2/1/20,9/5/20,United States,Male,65-74 years,"23,213","217,994","23,890","11,130",807,"36,626",
9/9/20,2/1/20,9/5/20,United States,Male,75-84 years,"25,562","238,254","27,521","12,089",730,"41,609",
9/9/20,2/1/20,9/5/20,United States,Male,85 years and over,"21,770","220,153","23,813","9,553",565,"36,510",
9/9/20,2/1/20,9/5/20,United States,Male,All Ages,"94,969","987,973","98,481","44,155","3,438","152,123",
9/9/20,2/1/20,9/5/20,United States,Female,Under 1 year,6,"4,677",37,1,8,50,
9/9/20,2/1/20,9/5/20,United States,Female,0-17 years,34,"7,660",129,6,59,216,
9/9/20,2/1/20,9/5/20,United States,Female,1-4 years,7,841,36,1,17,59,
9/9/20,2/1/20,9/5/20,United States,Female,5-14 years,9,"1,261",44,1,29,81,
9/9/20,2/1/20,9/5/20,United States,Female,15-24 years,120,"5,184",153,43,26,255,
9/9/20,2/1/20,9/5/20,United States,Female,18-29 years,266,"9,469",369,121,47,558,
9/9/20,2/1/20,9/5/20,United States,Female,25-34 years,456,"12,163",572,210,75,888,
9/9/20,2/1/20,9/5/20,United States,Female,30-49 years,"2,512","42,792","2,737","1,104",261,"4,384",
9/9/20,2/1/20,9/5/20,United States,Female,35-44 years,"1,112","19,933","1,227",484,115,"1,964",
9/9/20,2/1/20,9/5/20,United States,Female,45-54 years,"2,961","40,063","3,279","1,356",235,"5,086",
9/9/20,2/1/20,9/5/20,United States,Female,50-64 years,"9,620","119,179","11,257","4,648",671,"16,809",
9/9/20,2/1/20,9/5/20,United States,Female,55-64 years,"7,761","94,978","9,144","3,783",533,"13,584",
9/9/20,2/1/20,9/5/20,United States,Female,65-74 years,"14,470","156,949","15,851","6,834",637,"24,044",
9/9/20,2/1/20,9/5/20,United States,Female,75-84 years,"20,924","220,213","21,667","9,331",739,"33,910",
9/9/20,2/1/20,9/5/20,United States,Female,85 years and over,"33,067","350,144","29,599","12,243",818,"51,149",
9/9/20,2/1/20,9/5/20,United States,Female,All Ages,"80,893","906,406","81,609","34,287","3,232","131,070",
9/9/20,2/1/20,9/5/20,United States,Unknown,Under 1 year,0,15,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,0-17 years,0,16,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,15-24 years,0,1,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,25-34 years,0,2,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,30-49 years,0,6,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,35-44 years,0,3,0,0,0,0,
9/9/20,2/1/20,9/5/20,United States,Unknown,45-54 years,1,3,1,1,0,1,
9/9/20,2/1/20,9/5/20,United States,Unknown,50-64 years,1,8,2,1,1,3,
9/9/20,2/1/20,9/5/20,United States,Unknown,55-64 years,0,6,1,0,1,2,
9/9/20,2/1/20,9/5/20,United States,Unknown,65-74 years,1,10,1,1,0,1,
9/9/20,2/1/20,9/5/20,United States,Unknown,75-84 years,1,10,1,1,0,1,
9/9/20,2/1/20,9/5/20,United States,Unknown,85 years and over,1,18,1,1,0,1,
9/9/20,2/1/20,9/5/20,United States,Unknown,All Ages,4,68,5,4,1,6,
9/9/20,2/1/20,9/5/20,Alabama,Male,Under 1 year,,111,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,0-17 years,,220,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,1-4 years,0,22,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Male,5-14 years,0,40,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
